"version","file","git_change","recorded_in_production_history","proposed_batch","decision","reason","risk_flags","production_schema_signal","referenced_objects","migration_summary"
"20260802231405","20260802231405_reserved_dev_test_account_lookup.sql","Main only","No","B1 Shared database foundation","EXCLUDE_DEV_ONLY","Contains the fixed reserved Dev test identities.","security-definer; grant-change","None mentioned in Production schema","auth.users; public.get_reserved_dev_test_account_id","Service-only lookup for the seven reserved disposable SportStack Dev test identities. The Edge Function still performs live-session and Super Admin authorisation before calling this helper."
"20260803090000","20260803090000_scope_reserved_umpire_voter_accounts.sql","Main only","No","B3 Umpire operations","EXCLUDE_DEV_ONLY","Resets reserved disposable Dev Umpire and Voter accounts.","data-delete; data-update; data-insert; security-definer; grant-change","6/9 names mentioned in Production schema","public.administration_audit_log; public.clubs; public.membership_status_enum; public.membership_type_enum; public.provision_dev_test_account_data; public.provision_dev_test_account_data_scoped; public.team_memberships; public.teams; public.user_roles","Give the reserved Umpire and Voter Dev accounts a disposable team context while retaining exactly one stored role. This wrapper keeps every database write in one transaction and leaves the original provisioning function"
"20260803100000","20260803100000_include_role_scoped_admin_users.sql","Main only","No","B1 Access and identity","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","security-definer; grant-change","5/8 names mentioned in Production schema","auth.uid; public.admin_visible_profile_ids; public.administration_effective_mode; public.administration_scope_allows; public.clubs; public.profiles; public.team_memberships; public.teams; public.user_roles","Include role-only accounts in scoped administration user lists.  Coaches, Team Managers and administrators do not need a player membership."
"20260803101000","20260803101000_include_role_scoped_admin_mutations.sql","Main only","No","B1 Access and identity","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","data-update; security-definer; grant-change","5/8 names mentioned in Production schema","public.administration_effective_mode; public.administration_scope_allows; public.administration_target_profile_in_scope; public.clubs; public.profiles; public.team_memberships; public.teams; public.user_roles","Allow authorised administrators to update a role-only account in scope.  This keeps the mutation boundary aligned with admin_visible_profile_ids."
"20260803102000","20260803102000_exclude_broadcast_author_notifications.sql","Main only","No","B3 Communications","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","data-insert; security-definer; grant-change","All names mentioned in Production schema","auth.users; private.notify_communication_message; public.clubs; public.communication_channels; public.communication_email_deliveries; public.notification_category_preferences; public.notifications; public.team_memberships; public.teams","Do not notify or email the author about their own official update."
"20260803103000","20260803103000_notify_selected_player_availability_changes.sql","Main only","No","B4 Coordination","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","data-update; data-insert; security-definer; grant-change; cron-or-trigger","9/10 names mentioned in Production schema","public.fixture_availability; public.fixture_lineup_assignments; public.fixture_lineups; public.fixtures; public.notifications; public.notify_selected_player_availability_change; public.profiles; public.teams; public.user_role_enum; public.user_roles","Notify the people managing a published line-up when a selected player's availability changes. Keeping this in Postgres covers every app screen and avoids relying on a particular browser being open."
"20260803104000","20260803104000_allow_umpire_role_fixture_scope.sql","Main only","No","B3 Umpire operations","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","security-definer; grant-change","4/5 names mentioned in Production schema","auth.uid; private.active_permission_mode_for_current_session; private.module_allowed_for_current_session; private.umpire_match_fixture_allowed_for_current_session; public.clubs; public.fixtures; public.resolve_effective_permission_for_mode_unchecked; public.teams; public.user_roles","Umpire is currently presented through Player mode in the application. A signed-in umpire may therefore have a team selected in the normal cascade while voting on a different completed fixture in the same association."
"20260804071327","20260804071327_expense_hub_stage_one.sql","Main only","No","B5 Expense","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","data-update; data-insert; security-definer; rls-or-policy; grant-change; cron-or-trigger","3/17 names mentioned in Production schema","auth.uid; auth.users; private.expense_attachment_audit; private.expense_prepare_record; private.expense_prepare_scoped_reference; private.expense_write_audit; public.associations; public.clubs; public.expense_attachments; public.expense_audit_events; public.expense_categories; public.expense_export_batches; public.expense_export_items; public.expense_hub_access; public.expense_payment_methods; public.expense_record_access; public.expense_scope_allows; public.expense_storage_can_access; public.expense_supplier_aliases; public.expense_suppliers; public.expenses; public.has_expense_hub_access; public.profiles; storage.buckets; storage.objects","SportStack Expense Hub - complete manual Stage 1 foundation. Personal records stay private. Association and club sharing requires an explicit Expense Hub access grant; ordinary SportStack admin roles do not"
"20260804073000","20260804073000_harden_expense_hub_access_and_indexes.sql","Main only","No","B5 Expense","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","security-definer","None mentioned in Production schema","public.expense_attachments; public.expense_categories; public.expense_export_batches; public.expense_hub_access; public.expense_payment_methods; public.expense_record_access; public.expense_scope_allows; public.expense_storage_can_access; public.expense_supplier_aliases; public.expense_suppliers; public.expenses; public.has_expense_hub_access","Follow-up hardening for the applied Expense Hub foundation. The helpers can use SECURITY INVOKER because every underlying table has explicit authenticated grants and matching RLS. This removes avoidable"
"20260804074800","20260804074800_allow_expense_finance_admin_edits.sql","Main only","No","B5 Expense","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","data-update; rls-or-policy; cron-or-trigger","None mentioned in Production schema","private.expense_prevent_owner_change; public.expense_attachments; public.expense_categories; public.expense_payment_methods; public.expense_record_access; public.expense_scope_allows; public.expense_suppliers; public.expenses","Allow explicitly authorised finance administrators to manage records in their granted association or club scope without allowing ownership changes."
"20260804080500","20260804080500_allow_expense_finance_admin_aliases.sql","Main only","No","B5 Expense","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","rls-or-policy","None mentioned in Production schema","auth.uid; public.expense_scope_allows; public.expense_supplier_aliases; public.expense_suppliers","Supplier aliases are part of organisation supplier management. Permit an explicitly authorised finance administrator to manage aliases in scope."
"20260804084438","20260804084438_restrict_fixture_management_to_association_admins.sql","Main only","No","B3 Hockey operations","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","rls-or-policy","3/4 names mentioned in Production schema","public.administration_scope_allows; public.clubs; public.fixtures; public.teams","Limit fixture mutations to the active Super Admin mode or the selected Association Admin scope. Club and team roles retain authenticated read access."
"20260804181000","20260804181000_expense_hub_stage_two_foundation.sql","Main only","No","B5 Expense","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","data-update; data-insert; rls-or-policy; grant-change","3/16 names mentioned in Production schema","auth.uid; public.associations; public.clubs; public.expense_ai_extraction_results; public.expense_ai_field_suggestions; public.expense_ai_processing_jobs; public.expense_attachments; public.expense_categories; public.expense_import_storage_can_access; public.expense_payment_methods; public.expense_record_access; public.expense_scope_allows; public.expense_statement_imports; public.expense_statement_lines; public.expense_suppliers; public.expenses; public.profiles; storage.buckets; storage.foldername; storage.objects","Expense Hub Stage 2 foundation: bank statement review and AI evidence extraction."
"20260804183000","20260804183000_harden_expense_stage_two_ownership.sql","Main only","No","B5 Expense","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","data-update; rls-or-policy; grant-change; cron-or-trigger","None mentioned in Production schema","auth.uid; private.expense_prevent_import_scope_change; private.expense_prevent_owner_change; public.expense_ai_processing_jobs; public.expense_scope_allows; public.expense_statement_imports; public.expense_statement_lines","Keep imported ownership/scope immutable and reserve AI job writes for the server-side processor."
"20260804190000","20260804190000_complete_expense_hub_stage_two.sql","Main only","No","B5 Expense","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","none detected","1/3 names mentioned in Production schema","public.expense_ai_processing_jobs; public.expense_statement_imports; public.profiles","Complete Expense Hub Stage 2 provider usage, statement processing and approval tracking."
"20260804190500","20260804190500_limit_expense_statement_scans.sql","Main only","No","B5 Expense","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","none detected","None mentioned in Production schema","public.expense_statement_imports","Limit repeated AI scans of the same PDF bank statement."
"20260810090000","20260810090000_harden_functions_and_rls_performance.sql","Main only","No","B1 Shared database foundation","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","grant-change","22/25 names mentioned in Production schema","auth.jwt; auth.role; auth.uid; public.capture_communication_message_revision; public.ensure_player_role_for_active_membership; public.error_logs; public.expense_statement_lines; public.external_entity_links; public.fixtures; public.guard_team_membership_integrity; public.mvp_votes; public.mvp_voting_sessions; public.notifications; public.player_vote_edits; public.player_vote_lines; public.profile_claim_audit; public.revsports_player_mappings; public.revsports_player_registry; public.revsports_players; public.revsports_team_mappings; public.rls_auto_enable; public.source_revsports_change_log; public.source_revsports_matches; public.source_revsports_player_appearances; public.source_scrape_runs; public.team_memberships; public.update_requests_updated_at; public.update_updated_at","Tighten direct function access, fix two mutable search paths and address the verified RLS/FK performance advisories without changing policy semantics."
"20260811090305","20260811090305_guided_committee_workflow.sql","Main only","No","B4 Governance and safety","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","data-update; data-insert; security-definer; rls-or-policy; grant-change; cron-or-trigger","5/17 names mentioned in Production schema","auth.uid; private.is_committee_candidate; private.is_committee_setup_manager; private.module_allowed_in_accessible_scope_for_current_session; public.can_create_committee; public.can_manage_committee_scope; public.can_view_committee; public.clubs; public.committee_members; public.committee_positions; public.committees; public.create_committee_with_setup; public.has_committee_permission; public.is_active_committee_member; public.list_committee_candidates; public.profiles; public.team_memberships; public.teams; public.user_roles; public.validate_committee_hierarchy; public.validate_committee_member_scope","Guided committee creation and one-level private subcommittees. Existing committees remain standing root committees with their current access."
"20260811091322","20260811091322_fix_guided_committee_creation_returning.sql","Main only","No","B4 Governance and safety","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","data-insert; grant-change","None mentioned in Production schema","auth.uid; public.committee_members; public.committee_positions; public.committees; public.create_committee_with_setup","Avoid INSERT ... RETURNING checks against committee read policies while preserving security-invoker RLS and one atomic transaction."
"20260812110000","20260812110000_incident_discipline_foundation.sql","Main only","No","B4 Governance and safety","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","data-update; data-insert; security-definer; grant-change; cron-or-trigger","7/39 names mentioned in Production schema","auth.uid; private.discipline_set_updated_at; public.associations; public.can_manage_module_scope; public.clubs; public.committees; public.discipline_allegation_revisions; public.discipline_allegations; public.discipline_audit_events; public.discipline_calendar_exclusions; public.discipline_case_members; public.discipline_case_number_seq; public.discipline_case_people; public.discipline_cases; public.discipline_classification_assessments; public.discipline_classification_rules; public.discipline_deadline_definitions; public.discipline_deadline_events; public.discipline_deadlines; public.discipline_decisions; public.discipline_evidence; public.discipline_finding_revisions; public.discipline_findings; public.discipline_investigator_setups; public.discipline_local_variations; public.discipline_natural_justice_checks; public.discipline_notifications; public.discipline_portal_access; public.discipline_report_snapshots; public.discipline_rule_clauses; public.discipline_rule_packs; public.discipline_witnesses; public.divisions; public.fixtures; public.module_feature_flags; public.permission_catalogue; public.profiles; public.resolve_module_enabled; public.rg_risk_register; public.set_module_feature_flag; public.teams","Private, case-assigned Incident & Discipline records for Phase 1. Case content and module configuration are deliberately separate permissions."
"20260812111000","20260812111000_incident_discipline_workflows.sql","Main only","No","B4 Governance and safety","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","data-update; data-insert; security-definer; rls-or-policy; grant-change; cron-or-trigger","3/45 names mentioned in Production schema","auth.uid; private.discipline_business_deadline; private.discipline_can_create_case; private.discipline_can_investigate; private.discipline_can_manage_case; private.discipline_can_manage_config; private.discipline_can_read_case; private.discipline_capture_revision; private.discipline_capture_row_audit; private.discipline_has_association_access; private.discipline_has_case_role; private.discipline_initialise_deadlines; private.discipline_set_updated_at; private.discipline_storage_case_id; public.assign_discipline_case_member; public.authorise_discipline_natural_justice_override; public.complete_discipline_stage; public.create_discipline_case; public.discipline_allegation_revisions; public.discipline_allegations; public.discipline_audit_events; public.discipline_calendar_exclusions; public.discipline_case_members; public.discipline_case_number_seq; public.discipline_case_people; public.discipline_cases; public.discipline_classification_assessments; public.discipline_classification_rules; public.discipline_deadline_definitions; public.discipline_deadline_events; public.discipline_deadlines; public.discipline_decisions; public.discipline_evidence; public.discipline_finding_revisions; public.discipline_findings; public.discipline_investigator_setups; public.discipline_local_variations; public.discipline_natural_justice_checks; public.discipline_natural_justice_overrides; public.discipline_notifications; public.discipline_portal_access; public.discipline_report_snapshots; public.discipline_rule_clauses; public.discipline_rule_packs; public.discipline_witnesses; public.get_discipline_portal_context; public.profiles; public.recalculate_discipline_deadlines; public.record_discipline_classification; public.record_discipline_decision; public.reopen_discipline_stage; public.save_discipline_allegation; public.save_discipline_finding; public.save_discipline_intake; public.set_discipline_deadline_completion; public.set_discipline_portal_access; public.sign_discipline_report; public.user_role_enum; public.user_roles; storage.buckets; storage.objects","Case-level access, deadline calculation, immutable revisions and atomic Phase 1 workflow operations. RLS is enabled on every exposed table. Reference data is limited to people"
"20260812112000","20260812112000_incident_discipline_seed_2026.sql","Main only","No","B4 Governance and safety","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","data-delete; data-update; data-insert","1/8 names mentioned in Production schema","public.associations; public.discipline_calendar_exclusions; public.discipline_classification_rules; public.discipline_deadline_definitions; public.discipline_local_variations; public.discipline_rule_clauses; public.discipline_rule_packs; public.module_feature_flags","Verified 2026 source material for Hockey Ballarat. The rule pack is kept in REVIEW_REQUIRED until Hockey Ballarat approves the recorded local choices. Language Level 1."
"20260812113000","20260812113000_incident_discipline_indexes.sql","Main only","No","B4 Governance and safety","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","none detected","No public object extracted","","Add a covering index for every single-column foreign key in the new module that is not already the first column of an index."
"20260812114000","20260812114000_incident_discipline_portal_context.sql","Main only","No","B4 Governance and safety","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","security-definer; grant-change","2/7 names mentioned in Production schema","auth.uid; public.discipline_case_members; public.discipline_cases; public.discipline_portal_access; public.get_discipline_portal_context; public.module_feature_flags; public.user_role_enum; public.user_roles","Keep administrative portal access aligned with the association-level module flag. Explicit portal access and assigned-case access remain valid for their own associations."
"20260812115000","20260812115000_incident_discipline_atomic_intake.sql","Main only","No","B4 Governance and safety","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","data-insert; security-definer; grant-change","None mentioned in Production schema","auth.uid; private.discipline_can_create_case; private.discipline_initialise_deadlines; public.create_discipline_case; public.discipline_allegations; public.discipline_case_members; public.discipline_case_number_seq; public.discipline_case_people; public.discipline_cases; public.discipline_natural_justice_checks; public.discipline_rule_packs","Keep the initial reporter, reported person and first allegation in the same transaction as case creation. This avoids partially-created intake records."
"20260812116000","20260812116000_incident_discipline_report_hash.sql","Main only","No","B4 Governance and safety","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","data-update; data-insert; security-definer; grant-change","None mentioned in Production schema","auth.uid; private.discipline_has_case_role; public.discipline_allegations; public.discipline_cases; public.discipline_classification_assessments; public.discipline_evidence; public.discipline_findings; public.discipline_investigator_setups; public.discipline_natural_justice_checks; public.discipline_natural_justice_overrides; public.discipline_report_snapshots; public.discipline_rule_packs; public.sign_discipline_report","The pgcrypto extension is installed in the extensions schema on Supabase. Qualify digest because this security-definer function deliberately has an empty search path."
"20260812162815","20260812162815_improve_discipline_intake_guidance.sql","Main only","No","B4 Governance and safety","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","data-delete; data-update; data-insert; security-definer; rls-or-policy; grant-change","9/24 names mentioned in Production schema","auth.uid; private.discipline_can_create_case; private.discipline_can_investigate; private.discipline_can_manage_case; private.discipline_can_read_case; private.discipline_initialise_deadlines; public.associations; public.clubs; public.competitions; public.create_discipline_case; public.discipline_allegation_tags; public.discipline_allegations; public.discipline_case_members; public.discipline_case_number_seq; public.discipline_case_people; public.discipline_case_tags; public.discipline_cases; public.discipline_natural_justice_checks; public.discipline_rule_packs; public.discipline_tags; public.divisions; public.fixtures; public.get_discipline_intake_options; public.profiles; public.save_discipline_allegation; public.save_discipline_allegation_with_tags; public.save_discipline_intake; public.team_memberships; public.teams; public.venues","Make discipline intake easier to explain and complete without weakening the evidence record. Existing text fields remain as immutable-style snapshots; optional foreign keys only link those snapshots to current SportStack data."
"20260812164333","20260812164333_index_discipline_intake_links.sql","Main only","No","B4 Governance and safety","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","none detected","None mentioned in Production schema","public.discipline_allegation_tags; public.discipline_case_people; public.discipline_case_tags; public.discipline_cases","Cover the optional intake links and tag-assignment audit links added by the preceding migration. Partial indexes stay compact while most links are null."
"20260812235915","20260812235915_improve_discipline_investigator_setup.sql","Main only","No","B4 Governance and safety","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","data-update; data-insert; security-definer; rls-or-policy; grant-change","1/5 names mentioned in Production schema","auth.uid; private.discipline_can_manage_case; public.discipline_case_members; public.discipline_cases; public.discipline_investigator_setups; public.profiles; public.record_discipline_investigator_setup",""
"20260813224228","20260813224228_discipline_review_panel_workflow.sql","Main only","No","B4 Governance and safety","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","data-update; data-insert; security-definer; rls-or-policy; grant-change; cron-or-trigger","1/13 names mentioned in Production schema","auth.uid; private.discipline_can_manage_case; private.discipline_can_read_case; private.discipline_capture_row_audit; private.discipline_has_case_role; private.discipline_set_updated_at; public.complete_discipline_stage; public.discipline_case_members; public.discipline_cases; public.discipline_decisions; public.discipline_investigator_setups; public.discipline_review_panel_members; public.discipline_review_panel_votes; public.discipline_review_panels; public.finalise_discipline_review_panel_decision; public.profiles; public.record_discipline_decision; public.record_discipline_review_panel_vote; public.save_discipline_review_panel","Phase 1: independently reviewed Hockey Ballarat decisions. The three-person panel is an HB operating safeguard pending formal approval; it is not represented as wording taken directly from Rule 7."
"20260813225158","20260813225158_discipline_review_vote_privacy.sql","Main only","No","B4 Governance and safety","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","rls-or-policy","None mentioned in Production schema","auth.uid; public.discipline_review_panel_votes; public.discipline_review_panels","Keep each panel member's vote private until the majority is finalised."
"20260813225641","20260813225641_index_discipline_review_panel_foreign_keys.sql","Main only","No","B4 Governance and safety","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","none detected","None mentioned in Production schema","public.discipline_review_panel_members; public.discipline_review_panel_votes; public.discipline_review_panels","Cover review-panel foreign keys used by role checks, audit lookups and safe parent updates."
"20260813230835","20260813230835_allow_no_investigator_outcome_recommendation.sql","Main only","No","B1 Shared database foundation","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","data-update; data-insert; security-definer","None mentioned in Production schema","auth.uid; public.discipline_cases; public.discipline_review_panel_members; public.discipline_review_panel_votes; public.discipline_review_panels; public.record_discipline_review_panel_vote","A signed investigation report may record findings without recommending one overall Rule 7.7 outcome."
"20260813235900","20260813235900_discipline_tribunal_preparation.sql","Main only","No","B4 Governance and safety","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","data-update; data-insert; security-definer; rls-or-policy; grant-change; cron-or-trigger","1/7 names mentioned in Production schema","auth.uid; private.discipline_can_manage_case; private.discipline_can_read_case; private.discipline_capture_row_audit; private.discipline_has_case_role; private.discipline_set_updated_at; public.discipline_case_members; public.discipline_cases; public.discipline_decisions; public.discipline_tribunal_members; public.discipline_tribunal_preparations; public.profiles; public.save_discipline_tribunal_preparation","Phase 2, Screen 12: source-checked Tribunal preparation. This records appointments and logistics only. It does not send notices, determine a charge, conduct a hearing or impose a penalty."
"20260814000500","20260814000500_harden_discipline_tribunal_preparation.sql","Main only","No","B4 Governance and safety","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","grant-change","None mentioned in Production schema","private.discipline_can_read_case; public.discipline_tribunal_members; public.discipline_tribunal_preparations","Restore the authenticated policy-helper grant after replacing the function, and cover each new foreign key used for case access and audit lookups."
"20260814010000","20260814010000_discipline_phase2_completion_workflow.sql","Main only","No","B4 Governance and safety","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","data-update; data-insert; security-definer; rls-or-policy; grant-change; cron-or-trigger","1/5 names mentioned in Production schema","auth.uid; private.discipline_can_manage_case; private.discipline_can_read_case; private.discipline_capture_row_audit; public.discipline_cases; public.discipline_phase2_stage_records; public.discipline_tribunal_preparations; public.profiles; public.save_discipline_phase2_stage","Complete the post-referral discipline workflow without automating a legal outcome. Every save creates a new revision. Simulation records never change the real case status."
"20260814012000","20260814012000_harden_discipline_phase2_appeal_and_closure.sql","Main only","No","B4 Governance and safety","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","data-update; grant-change; cron-or-trigger","None mentioned in Production schema","private.validate_discipline_phase2_stage_record; public.discipline_phase2_stage_records","Add database checks for the full appealed branch and proved-charge closure."
"20260815090000","20260815090000_incident_discipline_workflow_redesign.sql","Main only","No","B4 Governance and safety","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","data-update; data-insert; security-definer; rls-or-policy; grant-change; cron-or-trigger","1/19 names mentioned in Production schema","auth.uid; private.discipline_assign_case_reference; private.discipline_can_manage_case; private.discipline_can_read_case; private.discipline_capture_row_audit; private.discipline_has_case_role; private.discipline_keep_case_reference_immutable; public.complete_discipline_stage; public.discipline_allegations; public.discipline_case_people; public.discipline_cases; public.discipline_classification_assessments; public.discipline_decisions; public.discipline_evidence; public.discipline_findings; public.discipline_investigator_setups; public.discipline_natural_justice_checks; public.discipline_natural_justice_overrides; public.discipline_report_snapshots; public.discipline_risk_assessments; public.discipline_rule_packs; public.profiles; public.record_discipline_decision; public.record_discipline_risk_assessment; public.refer_discipline_case_to_tribunal; public.sign_discipline_report","Correct the Incident and Discipline workflow so an ordinary Rule 7.7 outcome is made by Hockey Ballarat and a three-person panel is reserved for the formal Tribunal. Existing review-panel rows remain untouched as audit"
"20260815093000","20260815093000_enforce_discipline_stage_responsibilities.sql","Main only","No","B4 Governance and safety","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","security-definer; grant-change","None mentioned in Production schema","auth.uid; private.discipline_can_complete_phase2_stage; private.discipline_can_manage_case; private.discipline_can_read_case; private.discipline_has_case_role; public.discipline_case_members; public.save_discipline_phase2_stage","Enforce the displayed workflow responsibilities at the RPC boundary."
"20260815094500","20260815094500_lock_legacy_discipline_review_panels.sql","Main only","No","B4 Governance and safety","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","data-update; cron-or-trigger","None mentioned in Production schema","private.discipline_lock_legacy_review_history; public.discipline_review_panel_members; public.discipline_review_panel_votes; public.discipline_review_panels","Review panels were an earlier local safeguard and are not the formal Rule 7 Tribunal. Preserve every existing row as immutable audit history."
"20260815103000","20260815103000_player_explorer_saved_and_scheduled_searches.sql","Main only","No","B3 Hockey operations","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","data-update; security-definer; rls-or-policy; grant-change; cron-or-trigger","1/4 names mentioned in Production schema","auth.jwt; auth.uid; auth.users; private.prepare_player_explorer_schedule; public.claim_due_player_explorer_searches; public.is_super_admin; public.player_explorer_saved_searches; public.player_explorer_search_runs","Player Explorer saved searches and recurring run history. Search evaluation remains application-side; this migration stores protected definitions/results and atomically claims due work for the existing scheduler."
"20260816204954","20260816204954_discipline_evidence_withdrawal_workflow.sql","Main only","No","B4 Governance and safety","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","data-update; data-insert; security-definer; rls-or-policy; grant-change; cron-or-trigger","1/9 names mentioned in Production schema","auth.uid; private.discipline_block_pending_evidence_finalisation; private.discipline_can_manage_case; private.discipline_can_read_case; private.discipline_capture_row_audit; private.discipline_has_case_role; public.discipline_cases; public.discipline_evidence; public.discipline_evidence_status_events; public.discipline_phase2_stage_records; public.discipline_report_snapshots; public.discipline_tribunal_members; public.discipline_witnesses; public.profiles; public.record_discipline_evidence_status_event","Record requests to withdraw witness material without deleting or rewriting evidence. Other case work may continue, but a report or Tribunal determination cannot be finalised while a withdrawal request still needs a recorded decision."
"20260816205950","20260816205950_fix_discipline_pending_evidence_guard.sql","Main only","No","B4 Governance and safety","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","security-definer; grant-change","None mentioned in Production schema","private.discipline_block_pending_evidence_finalisation; public.discipline_evidence_status_events","Keep the shared pending-withdrawal guard compatible with both guarded tables. The report snapshot row has no stage or status fields."
"20260816210103","20260816210103_order_discipline_evidence_status_events.sql","Main only","No","B4 Governance and safety","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","none detected","None mentioned in Production schema","private.discipline_block_pending_evidence_finalisation; public.discipline_evidence_status_events; public.record_discipline_evidence_status_event","Give rapid append-only events a deterministic order. now() is stable for an entire transaction, so timestamps alone cannot identify the latest event."
"20260816213409","20260816213409_scope_player_explorer_access.sql","Main only","No","B3 Hockey operations","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","security-definer; rls-or-policy; grant-change","All names mentioned in Production schema","auth.uid; private.active_permission_mode_for_current_session; private.current_session_scope_allows; private.player_explorer_appearance_in_scope; private.player_explorer_external_entity_in_scope; private.player_explorer_match_in_scope; private.player_explorer_super_admin_mode; private.player_explorer_team_in_scope; public.clubs; public.external_entities; public.external_entity_links; public.fixtures; public.is_super_admin; public.source_revsports_matches; public.source_revsports_player_appearances; public.teams; public.user_roles","Allow Player Explorer reads only inside the signed-in user's active association, club or team scope. Super Admin mode keeps global access. A Super Admin in a lower preview mode is still restricted above by the"
"20260817100124","20260817100124_add_coordination_availability_states.sql","Main only","No","B4 Coordination","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","none detected","All names mentioned in Production schema","public.availability_status_enum","Role-specific fixture availability states used after a Coordination assignment is confirmed. This is separate because PostgreSQL enum values must be committed before later migrations use them."
